source_id,source_file,canonical_ids,original_title,original_workflow,original_uncertainties,original_scope_status,original_evidence_level,original_source_url,exact_original_row_json
MARG-001,../marg/webapp-parity-map.csv,ERP-002,Inventory Management,"Create items; receive, reserve, issue and inspect stock movements with balances.",Item/unit/location masters; precise reservation and valuation policies need agreement.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,"{""concrete_user_workflow"": ""Create items; receive, reserve, issue and inspect stock movements with balances."", ""dependencies_uncertainties"": ""Item/unit/location masters; precise reservation and valuation policies need agreement."", ""evidence_level"": ""vendor_matrix; workflow is proposed interpretation"", ""feature_id"": ""MARG-001"", ""inventory_origin"": ""edition_matrix"", ""proposed_browser_module"": ""Inventory"", ""scope_status"": ""preserved_in_scope"", ""source_basic"": ""included"", ""source_feature"": ""Inventory Management"", ""source_gold"": ""included"", ""source_retrieved_date"": ""2026-09-24"", ""source_row_number"": ""1"", ""source_sequence"": ""1"", ""source_silver"": ""included"", ""source_url"": ""https://margcompusoft.com/marg-features.html""}"
MARG-002,../marg/webapp-parity-map.csv,ERP-003,Multi Store Management (Godown Management),"Create godowns; receive, sell and transfer goods by location; compare availability.",Locations are distinct from legal companies and GST registrations; transfer valuation needs examples.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,"{""concrete_user_workflow"": ""Create godowns; receive, sell and transfer goods by location; compare availability."", ""dependencies_uncertainties"": ""Locations are distinct from legal companies and GST registrations; transfer valuation needs examples."", ""evidence_level"": ""vendor_matrix; workflow is proposed interpretation"", ""feature_id"": ""MARG-002"", ""inventory_origin"": ""edition_matrix"", ""proposed_browser_module"": ""Warehouses and stores"", ""scope_status"": ""preserved_in_scope"", ""source_basic"": ""excluded"", ""source_feature"": ""Multi Store Management (Godown Management)"", ""source_gold"": ""included"", ""source_retrieved_date"": ""2026-09-24"", ""source_row_number"": ""2"", ""source_sequence"": ""2"", ""source_silver"": ""included"", ""source_url"": ""https://margcompusoft.com/marg-features.html""}"
MARG-003,../marg/webapp-parity-map.csv,ERP-010,Sales / Purchase Invoice,Create sale and supplier invoices; calculate totals; post linked stock and account effects.,"Party/item/rate/tax masters; cash/credit, numbering and document corrections need explicit examples.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,"{""concrete_user_workflow"": ""Create sale and supplier invoices; calculate totals; post linked stock and account effects."", ""dependencies_uncertainties"": ""Party/item/rate/tax masters; cash/credit, numbering and document corrections need explicit examples."", ""evidence_level"": ""vendor_matrix; workflow is proposed interpretation"", ""feature_id"": ""MARG-003"", ""inventory_origin"": ""edition_matrix"", ""proposed_browser_module"": ""Sales and purchasing"", ""scope_status"": ""preserved_in_scope"", ""source_basic"": ""included"", ""source_feature"": ""Sales / Purchase Invoice"", ""source_gold"": ""included"", ""source_retrieved_date"": ""2026-09-24"", ""source_row_number"": ""3"", ""source_sequence"": ""3"", ""source_silver"": ""included"", ""source_url"": ""https://margcompusoft.com/marg-features.html""}"
MARG-004,../marg/webapp-parity-map.csv,ERP-009;WORK-13,Sales Order / Purchase Order & Challan Entry (Delivery Challan) Management,Record sales/PO commitments; release delivery challans; receive or invoice selected quantities.,"Partial completion, cancellations and multiple orders per invoice need acceptance examples.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,"{""concrete_user_workflow"": ""Record sales/PO commitments; release delivery challans; receive or invoice selected quantities."", ""dependencies_uncertainties"": ""Partial completion, cancellations and multiple orders per invoice need acceptance examples."", ""evidence_level"": ""vendor_matrix; workflow is proposed interpretation"", ""feature_id"": ""MARG-004"", ""inventory_origin"": ""edition_matrix"", ""proposed_browser_module"": ""Orders and fulfilment"", ""scope_status"": ""preserved_in_scope"", ""source_basic"": ""included"", ""source_feature"": ""Sales Order / Purchase Order & Challan Entry (Delivery Challan) Management"", ""source_gold"": ""included"", ""source_retrieved_date"": ""2026-09-24"", ""source_row_number"": ""4"", ""source_sequence"": ""4"", ""source_silver"": ""included"", ""source_url"": ""https://margcompusoft.com/marg-features.html""}"
MARG-005,../marg/webapp-parity-map.csv,ERP-010,Counter Sale Entry & Temporary Purchase Entry,Record fast counter sales and provisional purchases; complete reviewed records later.,Define stock/account impact before finalization and distinguish provisional from posted documents.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,"{""concrete_user_workflow"": ""Record fast counter sales and provisional purchases; complete reviewed records later."", ""dependencies_uncertainties"": ""Define stock/account impact before finalization and distinguish provisional from posted documents."", ""evidence_level"": ""vendor_matrix; workflow is proposed interpretation"", ""feature_id"": ""MARG-005"", ""inventory_origin"": ""edition_matrix"", ""proposed_browser_module"": ""Counter and provisional entry"", ""scope_status"": ""preserved_in_scope"", ""source_basic"": ""included"", ""source_feature"": ""Counter Sale Entry & Temporary Purchase Entry"", ""source_gold"": ""included"", ""source_retrieved_date"": ""2026-09-24"", ""source_row_number"": ""5"", ""source_sequence"": ""5"", ""source_silver"": ""included"", ""source_url"": ""https://margcompusoft.com/marg-features.html""}"
MARG-006,../marg/webapp-parity-map.csv,ERP-011,Sale / Purchase Brk/Exp Return & Replacement Issue / Receive Management,Receive customer breakage/expiry returns; return to suppliers; issue or receive replacements.,Original invoice/batch links; commercial versus tax adjustment; fresh versus scrap stock.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,"{""concrete_user_workflow"": ""Receive customer breakage/expiry returns; return to suppliers; issue or receive replacements."", ""dependencies_uncertainties"": ""Original invoice/batch links; commercial versus tax adjustment; fresh versus scrap stock."", ""evidence_level"": ""vendor_matrix; workflow is proposed interpretation"", ""feature_id"": ""MARG-006"", ""inventory_origin"": ""edition_matrix"", ""proposed_browser_module"": ""Returns and replacements"", ""scope_status"": ""preserved_in_scope"", ""source_basic"": ""included"", ""source_feature"": ""Sale / Purchase Brk/Exp Return & Replacement Issue / Receive Management"", ""source_gold"": ""included"", ""source_retrieved_date"": ""2026-09-24"", ""source_row_number"": ""6"", ""source_sequence"": ""6"", ""source_silver"": ""included"", ""source_url"": ""https://margcompusoft.com/marg-features.html""}"
MARG-007,../marg/webapp-parity-map.csv,ERP-012,Price Difference Sale / Purchase Management,Create sale/purchase price-difference adjustments referencing affected documents.,"Rate basis, quantities, free goods and tax treatment need reviewed examples.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,"{""concrete_user_workflow"": ""Create sale/purchase price-difference adjustments referencing affected documents."", ""dependencies_uncertainties"": ""Rate basis, quantities, free goods and tax treatment need reviewed examples."", ""evidence_level"": ""vendor_matrix; workflow is proposed interpretation"", ""feature_id"": ""MARG-007"", ""inventory_origin"": ""edition_matrix"", ""proposed_browser_module"": ""Price adjustments"", ""scope_status"": ""preserved_in_scope"", ""source_basic"": ""included"", ""source_feature"": ""Price Difference Sale / Purchase Management"", ""source_gold"": ""included"", ""source_retrieved_date"": ""2026-09-24"", ""source_row_number"": ""7"", ""source_sequence"": ""7"", ""source_silver"": ""included"", ""source_url"": ""https://margcompusoft.com/marg-features.html""}"
MARG-008,../marg/webapp-parity-map.csv,ERP-005,Conversion Entry Management,Convert one stock form/unit or item into another and inspect resulting quantities.,"Vendor label is broad; confirm packing/unpacking, conversion ratios, wastage and costing behavior.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,"{""concrete_user_workflow"": ""Convert one stock form/unit or item into another and inspect resulting quantities."", ""dependencies_uncertainties"": ""Vendor label is broad; confirm packing/unpacking, conversion ratios, wastage and costing behavior."", ""evidence_level"": ""vendor_matrix; workflow is proposed interpretation"", ""feature_id"": ""MARG-008"", ""inventory_origin"": ""edition_matrix"", ""proposed_browser_module"": ""Inventory conversion"", ""scope_status"": ""preserved_in_scope"", ""source_basic"": ""excluded"", ""source_feature"": ""Conversion Entry Management"", ""source_gold"": ""included"", ""source_retrieved_date"": ""2026-09-24"", ""source_row_number"": ""8"", ""source_sequence"": ""8"", ""source_silver"": ""included"", ""source_url"": ""https://margcompusoft.com/marg-features.html""}"
MARG-009,../marg/webapp-parity-map.csv,ERP-009;WORK-13,Purchase Indent & Quotation Entry Management,Raise purchase indents; collect supplier quotes; compare and convert accepted quantities to orders.,"Quote versioning, approval and links to purchase orders require workflow validation.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,"{""concrete_user_workflow"": ""Raise purchase indents; collect supplier quotes; compare and convert accepted quantities to orders."", ""dependencies_uncertainties"": ""Quote versioning, approval and links to purchase orders require workflow validation."", ""evidence_level"": ""vendor_matrix; workflow is proposed interpretation"", ""feature_id"": ""MARG-009"", ""inventory_origin"": ""edition_matrix"", ""proposed_browser_module"": ""Procurement requests and quotes"", ""scope_status"": ""preserved_in_scope"", ""source_basic"": ""excluded"", ""source_feature"": ""Purchase Indent & Quotation Entry Management"", ""source_gold"": ""included"", ""source_retrieved_date"": ""2026-09-24"", ""source_row_number"": ""9"", ""source_sequence"": ""9"", ""source_silver"": ""included"", ""source_url"": ""https://margcompusoft.com/marg-features.html""}"
MARG-010,../marg/webapp-parity-map.csv,ERP-007,Consignment Issue & Receive Management,"Issue or receive goods on consignment; record ownership, settlements and unsold returns.",Distinguish custody from ownership and tax points; source label alone does not specify settlement rules.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,"{""concrete_user_workflow"": ""Issue or receive goods on consignment; record ownership, settlements and unsold returns."", ""dependencies_uncertainties"": ""Distinguish custody from ownership and tax points; source label alone does not specify settlement rules."", ""evidence_level"": ""vendor_matrix; workflow is proposed interpretation"", ""feature_id"": ""MARG-010"", ""inventory_origin"": ""edition_matrix"", ""proposed_browser_module"": ""Consignment"", ""scope_status"": ""preserved_in_scope"", ""source_basic"": ""excluded"", ""source_feature"": ""Consignment Issue & Receive Management"", ""source_gold"": ""included"", ""source_retrieved_date"": ""2026-09-24"", ""source_row_number"": ""10"", ""source_sequence"": ""10"", ""source_silver"": ""included"", ""source_url"": ""https://margcompusoft.com/marg-features.html""}"
