capability_id,workspace,features_and_outcome,workflow_document,scope_status,delivery_priority,portal_mode
GST-01,Registration and applicability,"Effective-dated registration/regime, filing frequency, turnover history, authorized signatory, declared locations and obligations. Explain why each return or document requirement applies.",gst-outward-workflows.md,proposed_product_capability,not_selected,deferred_by_user
GST-02,Tax masters and policies,"HSN/SAC/UQC, taxability, cess and valuation rules, place-of-supply decisions, bill-to/ship-to, exemptions and rate history. Record the basis and reviewer for exceptional classifications.",gst-outward-workflows.md,proposed_product_capability,not_selected,deferred_by_user
GST-03,Invoice assistant,"Line-level explanation, GSTIN checks with verification date, arithmetic/rounding review, duplicates, party status and tax-inclusive pricing. Preview corrections and preserve original evidence.",gst-outward-workflows.md,proposed_product_capability,not_selected,deferred_by_user
GST-04,E-invoice workbench,"Applicability, validation, registration, original acknowledgement/QR evidence, errors, cancellation eligibility and uncertain-response recovery. Link all attempts to one document.",gst-outward-workflows.md,proposed_product_capability,not_selected,deferred_by_user
GST-05,Transport compliance,"E-way applicability, transport/vehicle details, generation, updates, validity/extension checks, consolidation and dispatch readiness. Respect active rules rather than withdrawn announcements.",gst-outward-workflows.md,proposed_product_capability,not_selected,deferred_by_user
GST-06,Purchase evidence inbox,"PDF/photo/spreadsheet/manual capture, field provenance, party/item mapping, PO/receipt/service evidence, duplicate controls and quantity/rate/tax variances.",gst-inward-workflows.md,proposed_product_capability,not_selected,deferred_by_user
GST-07,Reconciliation,"Books versus 2B/IMS, sales versus IRP/GSTR-1, amendments, prior periods, credit notes and imported documents. Explain proposed matches and isolate unexplained differences.",gst-inward-workflows.md,proposed_product_capability,not_selected,deferred_by_user
GST-08,ITC review,Eligibility at line/amount level; evidence requirements; blocked/common/nonbusiness credit; receipt/payment conditions; claim history; reversals/reclaims; deadline exposure.,gst-inward-workflows.md,proposed_product_capability,not_selected,deferred_by_user
GST-09,IMS decisions,"Allowed actions per record/period, consequence preview, no-action exposure, pending deadlines, remarks, actual reversal amounts and acknowledgement/recomputation checks.",gst-inward-workflows.md,proposed_product_capability,not_selected,deferred_by_user
GST-10,Supplier/customer resolution,"Dispute bundles, follow-up drafts, evidence exchange, owner assignment and reminders. Commercial payment decisions remain separate from a GST mismatch.",gst-inward-workflows.md,proposed_product_capability,not_selected,deferred_by_user
GST-11,"Returns, claims and notes",Original-invoice-linked returns; expiry/breakage/destruction; replacements; discounts; commercial notes versus GST adjustments; tax and stock effects reviewed separately.,gst-outward-workflows.md,proposed_product_capability,not_selected,deferred_by_user
GST-12,RCM and adjustments,"Classified obligations, self-documentation where applicable, tax liability/payment evidence and separately reviewed ITC. Explain applicability rather than treating every unregistered purchase as RCM.",gst-special-cases.md,proposed_product_capability,not_selected,deferred_by_user
GST-13,Filing workspace,"Period checklist, GSTR-1/IFF/1A and 3B preparation, other applicable forms, variance bridge, approvals, export/upload/signing status, official acknowledgements and locked filed snapshots.",gst-outward-workflows.md,proposed_product_capability,not_selected,deferred_by_user
GST-14,Liability and payment view,"Estimated versus approved liabilities, credit/cash ledger evidence, allocation, payment references, interest/late-fee review and period-specific obligations. Bank payment is not automatically proof of return filing.",gst-special-cases.md,proposed_product_capability,not_selected,deferred_by_user
GST-15,Multi-GSTIN operations,"Same-registration movement, distinct-person supply and ISD workflows remain separate. Pair sending/receiving records and reconcile interbranch discrepancies without concealing them in group totals.",gst-special-cases.md,proposed_product_capability,not_selected,deferred_by_user
GST-16,"Imports, exports and SEZ","BoE/customs evidence, import credit matching, export/SEZ applicability, LUT/bond evidence where relevant and refund dossier/status. Domestic matching rules cannot be blindly reused.",gst-special-cases.md,proposed_product_capability,not_selected,deferred_by_user
GST-17,Special taxpayer regimes,"Composition, QRMP and relevant TDS/TCS/ISD cases with registration-specific forms, rights and calculations. Keep GST deductions distinct from income-tax deductions.",gst-special-cases.md,proposed_product_capability,not_selected,deferred_by_user
GST-18,Annual compliance and migration,"GSTR-9/9C where applicable, financial-year versus return-period reconciliation, historic claims/reversals, migration control totals and unresolved opening cases.",gst-special-cases.md,proposed_product_capability,not_selected,deferred_by_user
GST-19,Notices and evidence,"Notice intake, response dates, issue-to-transaction links, evidence bundles, response versions and authorized submission/acknowledgement. No fabricated legal response or automatic admission.",gst-special-cases.md,proposed_product_capability,not_selected,deferred_by_user
GST-20,Compliance change workbench,"Source/effective-date/supersession tracking, rate/MRP transition previews, impact assessment, reviewer sign-off and period-specific audit evidence.",gst-outward-workflows.md,proposed_product_capability,not_selected,deferred_by_user
GST-21,Common credit and capital goods,"Attribute exclusive/common use, document allocation bases, prepare periodic reversal and applicable annual adjustment, track capital-goods history and preserve reviewer-approved calculations.",gst-inward-workflows.md,proposed_product_capability,not_selected,deferred_by_user
GST-22,Job work,"Principal/job-worker roles, challans, goods sent and partially returned, direct dispatch, scrap/waste, applicable statutory clocks and reporting, and overdue-case assessment.",gst-special-cases.md,proposed_product_capability,not_selected,deferred_by_user
GST-23,Advances and adjustments,"Receipt/payment evidence, receipt/refund vouchers where applicable, goods/services tax assessment, allocation to invoices, cancellation/refund, unadjusted balances and period reporting.",gst-outward-workflows.md,proposed_product_capability,not_selected,deferred_by_user
GST-24,CA engagement and review,"Explicit client/company/GSTIN access, assigned preparations, versioned review packs, reviewer reassignment, approval independence policy, client handover and access revocation.",product-and-gst-workflow-map.md,proposed_product_capability,not_selected,deferred_by_user
