feature_id,inventory_origin,source_sequence,source_row_number,source_feature,proposed_browser_module,concrete_user_workflow,dependencies_uncertainties,scope_status,evidence_level,source_url,source_retrieved_date,source_basic,source_silver,source_gold
MARG-001,edition_matrix,1,1,Inventory Management,Inventory,"Create items; receive, reserve, issue and inspect stock movements with balances.",Item/unit/location masters; precise reservation and valuation policies need agreement.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-002,edition_matrix,2,2,Multi Store Management (Godown Management),Warehouses and stores,"Create godowns; receive, sell and transfer goods by location; compare availability.",Locations are distinct from legal companies and GST registrations; transfer valuation needs examples.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-003,edition_matrix,3,3,Sales / Purchase Invoice,Sales and purchasing,Create sale and supplier invoices; calculate totals; post linked stock and account effects.,"Party/item/rate/tax masters; cash/credit, numbering and document corrections need explicit examples.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-004,edition_matrix,4,4,Sales Order / Purchase Order & Challan Entry (Delivery Challan) Management,Orders and fulfilment,Record sales/PO commitments; release delivery challans; receive or invoice selected quantities.,"Partial completion, cancellations and multiple orders per invoice need acceptance examples.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-005,edition_matrix,5,5,Counter Sale Entry & Temporary Purchase Entry,Counter and provisional entry,Record fast counter sales and provisional purchases; complete reviewed records later.,Define stock/account impact before finalization and distinguish provisional from posted documents.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-006,edition_matrix,6,6,Sale / Purchase Brk/Exp Return & Replacement Issue / Receive Management,Returns and replacements,Receive customer breakage/expiry returns; return to suppliers; issue or receive replacements.,Original invoice/batch links; commercial versus tax adjustment; fresh versus scrap stock.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-007,edition_matrix,7,7,Price Difference Sale / Purchase Management,Price adjustments,Create sale/purchase price-difference adjustments referencing affected documents.,"Rate basis, quantities, free goods and tax treatment need reviewed examples.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,included,included,included
MARG-008,edition_matrix,8,8,Conversion Entry Management,Inventory conversion,Convert one stock form/unit or item into another and inspect resulting quantities.,"Vendor label is broad; confirm packing/unpacking, conversion ratios, wastage and costing behavior.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-009,edition_matrix,9,9,Purchase Indent & Quotation Entry Management,Procurement requests and quotes,Raise purchase indents; collect supplier quotes; compare and convert accepted quantities to orders.,"Quote versioning, approval and links to purchase orders require workflow validation.",preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
MARG-010,edition_matrix,10,10,Consignment Issue & Receive Management,Consignment,"Issue or receive goods on consignment; record ownership, settlements and unsold returns.",Distinguish custody from ownership and tax points; source label alone does not specify settlement rules.,preserved_in_scope,vendor_matrix; workflow is proposed interpretation,https://margcompusoft.com/marg-features.html,2026-09-24,excluded,included,included
