evidence_id,source_product,observation,evidence_level,source_url,original_comparison,old_feature_ids,canonical_ids,decision,proposed_workflow,reason_and_limit
BYTE-CAP-001,Byteception studio capability,Record-level viewing and editing controls.,studio_capability_claim; illustrative_member_role_image_alt,https://byteception.com/,deepen_existing,MARG-039;MARG-093;ADD-061;ADD-063;GST-24,ERP-023;WORK-01;WORK-13,deepen_existing_workflow,"Make permissions inspectable by user, company, GSTIN, branch and action. Separately govern document preparation, posting, sensitive-field access, export, overrides and approval. Preview the scope of an invitation or permission change; explain a denied action without revealing another client's data.",The existing baseline already requires scoped access. Fine-grained actions are proposed ERP requirements; the homepage does not establish its exact policy model or demonstrate access enforcement.
BYTE-CAP-002,Byteception studio capability,"SSO, second-factor and link-based login options.",studio_capability_claim; illustrative_connected_account_image_alt,https://byteception.com/,add_explicit,MARG-039;MARG-093;GST-24,WORK-01,new_explicit_requirement,"Specify invitation acceptance, sign-in, second-factor enrollment/recovery, active-session visibility, session revocation and offboarding. Owner/admin should see which access remains active. Decide optional corporate or social sign-in later; local development does not require selecting an external identity provider now.","User and role management exists in the baseline, but authentication and recovery workflows are not explicit. The homepage does not prove supported identity vendors, account recovery behaviour or security certification."
BYTE-CAP-003,Byteception studio capability,Separated organisation data and client access.,studio_capability_claim; illustrative_workspace_switcher_image_alt,https://byteception.com/,already_explicit,MARG-093;ADD-061;ADD-062;GST-01;GST-15;GST-24,TAX-01;TAX-15;TAX-24;WORK-08,retain_existing,"Retain the company/GSTIN/branch context on every page and document. Keep CA client selection explicit, show only authorised entities in search and export, and retain independent statutory records when a management dashboard combines results.","Already required by the user's multi-company brief and existing access acceptance cases. A workspace is not automatically a legal company, GST registration or warehouse; those identities must remain distinct."
BYTE-CAP-004,Byteception studio capability,Grouped notifications across multiple channels.,studio_capability_claim; illustrative_notification_inbox_image_alt,https://byteception.com/,deepen_existing,MARG-068;MARG-078;MARG-088;GST-10;GST-13;GST-19;GST-24,WORK-03,deepen_existing_workflow,"Provide a browser inbox grouped by case or document with owner, financial amount, company/GSTIN, due date, current blocker and permitted next action. Let users distinguish required work from informational changes, acknowledge or snooze reminders, and inspect delivery failures. Escalation must follow an agreed review policy. Email or messaging remains a separately authorised channel.","Existing maps contain reminders, assignments and scheduled messages but do not define a unified notification experience. Mobile alerts on the vendor page do not expand this project's webapp-only scope."
BYTE-CAP-005,Byteception studio capability,Shared changes appear without manual refresh.,studio_capability_claim; illustrative_discussion_thread_image_alt,https://byteception.com/,add_explicit,MARG-042;MARG-077;ADD-063;GST-10;GST-13;GST-24,WORK-04,new_explicit_requirement,"Show who is preparing or reviewing a document, present new comments and changes, warn before overwriting another user's work, and compare conflicting edits. Recheck the reviewed version before posting, approval or filing-related actions. A stale browser session should explain what changed and offer reload or a controlled merge; preserve financial history.","Comments and stale-approval handling already exist in the GST plan, but simultaneous-edit behaviour is not explicit. The vendor's broad conflict-free wording is not a verified guarantee and should not be repeated as our acceptance criterion."
BYTE-CAP-006,Byteception studio capability,Changes attributed to an actor and time.,studio_capability_claim; illustrative_expense_timeline_image_alt,https://byteception.com/,already_explicit,MARG-040;MARG-077;ADD-058;GST-13;GST-20;GST-24,ERP-024;WORK-12,retain_existing,"Retain before/after values, actor, business scope, time, reason and approval for consequential changes. Link source documents, corrections and review versions. Keep human, import and assisted actions distinguishable, and export an authorised audit pack with its provenance.","The prior plan already specifies versions, decision history and re-review after changes. The homepage does not establish retention, tamper resistance, statutory suitability or the coverage of its audit implementation."
BYTE-CAP-007,Byteception studio capability,"Document drafting, versions, signing and export.",studio_capability_claim; illustrative_board_resolution_editor_image_alt,https://byteception.com/,add_explicit,MARG-041;MARG-049;GST-10;GST-16;GST-19;GST-24,WORK-06,new_explicit_requirement,"Add reusable, permissioned templates for supplier discrepancy letters, review queries, management declarations, notice-response working drafts and engagement handover notes. Fill references from approved business records, compare versions and export a reviewable document. Record review and any signed copy separately from the draft.","Invoice layouts and supporting-document generation already exist; a general reviewable drafting workspace is new explicit scope. Vendor examples do not establish legally valid digital signatures. Document signature, internal approval and GST return signing must stay distinct; signing providers and filing connectivity remain undecided."
BYTE-CAP-008,Byteception studio capability,Permissioned storage for uploads and signed copies.,studio_capability_claim; illustrative_client_document_library_image_alt,https://byteception.com/,deepen_existing,MARG-069;MARG-076;MARG-083;ADD-013;ADD-015;GST-06;GST-16;GST-19;GST-24,WORK-05,deepen_existing_workflow,"Give each source file one identity with company/GSTIN, period, document type, source, uploader, date and linked transactions/cases. Support versions, duplicate detection, missing-evidence requests, scoped search, download history, retention decisions and export packs. Preserve the precise evidence version used for an approval even when a later file arrives.",Evidence capture and preservation already exist across GST workflows; the improvement is a coherent cross-module repository experience. Storage encryption on a marketing page is not proof of a security audit or appropriate retention rules.
BYTE-CAP-009,Byteception studio capability,Summarised business metrics.,studio_capability_claim; illustrative_finance_dashboard_image_alt,https://byteception.com/,already_explicit,MARG-051;MARG-061;MARG-079;MARG-087;ADD-037;GST-08;GST-13;GST-14;GST-24,ERP-021;TAX-14;TAX-24,retain_existing,"Retain role-specific owner, staff and CA overviews with company/GSTIN/period scope, data freshness, definitions, actionable blockers and source-record drilldown. Separate cash, liability and unresolved-credit measures; disclose overlap rather than summing the same exposure twice.","The current plan already describes scoped dashboards and non-overlapping financial exposure. The screenshot's metrics are examples, not evidence of Byteception inventory or GST functionality."
BYTE-CAP-010,Byteception studio capability,"Search, filtering and bulk record updates.",studio_capability_claim; illustrative_bank_transaction_table_image_alt,https://byteception.com/,deepen_existing,MARG-014;MARG-046;MARG-067;ADD-013;ADD-048;GST-03;GST-07;GST-13,WORK-11,deepen_existing_workflow,"Provide saved scoped views, useful columns, combined filters and document drilldown across records. Bulk actions must preview eligible records, protected or excluded records and resulting changes, then report outcomes per row. Editing posted financial documents must follow correction rules; a spreadsheet-style grid is not authority to rewrite history.",Filtering and bulk error reporting already occur in the existing map. Large-volume responsiveness needs later acceptance measurements; the homepage's scale language is not a benchmark.
