id,domain,capability,concrete_workflow,actors,acceptance_example,source_baseline_ids,byteception_evidence_ids,disposition,dependencies,requirement_status,source_interpretation,planning_constraints
ERP-001,Catalogue,Item discovery and curated substitutes,"Find products by category, salt, parameter or configured substitute and surface new launches; preserve product identity.",Counter staff; catalogue steward,"A filtered search returns permitted products, retains selected identity and never presents a medicinal substitute as an autonomous clinical decision.",MARG-014;MARG-026;MARG-037,,retained,"Curated substitute mappings and vertical-specific constraints; medicinal equivalence cannot be assumed. | Define newness window, supplier feeds and operator visibility; source behavior is underspecified. | Medicine reference rights, variant mapping and catalogue corrections require governance.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-002,Inventory,Stock ledger and inventory vouchers,"Receive, reserve, issue, transfer and adjust quantities through named stock vouchers and inspect the resulting balance.",Storekeeper; inventory reviewer,"A receipt, issue and approved adjustment reconcile to the same item/location balance with source-document drilldown.",MARG-001;MARG-011,,retained,Item/unit/location masters; precise reservation and valuation policies need agreement. | Exact voucher catalogue and posting rules need specimen transactions; avoid collapsing distinct movements.,proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-003,Inventory,"Godowns, stores and racks","Allocate goods to warehouse/store/rack, inspect availability and move selected quantities with sending and receiving evidence.",Storekeeper; branch manager,A partial transfer shows in-transit and received quantities without counting one quantity in both available stocks.,MARG-002;ADD-005,,retained,Locations are distinct from legal companies and GST registrations; transfer valuation needs examples. | Rack versus store identifiers; mixed bins and replenishment need examples.,proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-004,Inventory,"Batch dates, expiry and allocation","Preserve batch identifiers including separators; track manufacture/expiry; allocate quantities automatically, with confirmation or manually; prepare expiry candidates.",Storekeeper; billing staff,"A split-batch sale retains exact batch identifiers, dates and source quantities; uncertain legacy separator semantics remain flagged for demonstration.",MARG-017;MARG-018;MARG-019;MARG-024;MARG-025,,retained,"Clarify item default versus batch-specific dates and required date precision. | Expiry interpretation, permissions and handling of month-only dates require explicit rules. | Configurable horizons and provenance; a report does not itself approve disposal or credit. | Meaning of source symbols @/#/* is unverified; obtain batch examples and search behavior. | Verify source auto/semi/manual semantics, selection rules and lot traceability.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-005,Inventory,Stock conversion and packing,"Preview conversion between item forms or units, confirm ratios/wastage and inspect quantity/cost effects.",Storekeeper; inventory reviewer,A reviewed conversion conserves quantities under its recorded conversion ratio and identifies allowed wastage and cost basis.,MARG-008,,retained,"Vendor label is broad; confirm packing/unpacking, conversion ratios, wastage and costing behavior.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-006,Inventory,Secondary stock records,Maintain secondary stock records and reconcile them with the relevant main stock or channel records after source semantics are confirmed.,Inventory manager,A documented customer example identifies what secondary stock means before posting rules are finalized; the requirement cannot be silently replaced with secondary-sales reporting.,MARG-012,,retained,Meaning of secondary stock is unverified; may differ from channel secondary sales; retain separate requirement.,proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-007,Inventory,Consignment custody and settlement,"Record goods issued or received on consignment, ownership, custody, sale settlement and unsold returns separately.",Storekeeper; accountant,An unsold consignment return changes custody without inventing an owned-stock purchase or sale.,MARG-010,,retained,Distinguish custody from ownership and tax points; source label alone does not specify settlement rules.,proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-008,Inventory,"Counts, shortages and replenishment","Compare barcode counts to recorded stock, investigate shortages and propose sales-based reorders with reviewer approval.",Storekeeper; purchasing staff,"A count difference has a reason and approved adjustment; a reorder proposal shows demand, stock and existing commitments.",MARG-027;ADD-006;ADD-010,,retained,"Avoid counting duplicate demand; distinguish projected shortages from negative stock. | Validate minimum/maximum and shortage formulas; no claim of predictive AI. | Comparison is documented; blind counts, adjustments and approval behavior need specification.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-009,Trade,"Procurement, orders and challans","Raise indents, compare quotes, approve purchase/sales orders, fulfil partial quantities and convert orders/challans into invoices with shortages visible.",Purchasing; sales; warehouse,Two partial receipts or deliveries cannot consume the same ordered quantity twice; invoice conversion preserves remaining commitments.,MARG-004;MARG-009;MARG-022;ADD-011,,retained,"Partial completion, cancellations and multiple orders per invoice need acceptance examples. | Quote versioning, approval and links to purchase orders require workflow validation. | Shortage definitions and customer-visible formatting must match partial fulfilment. | Partial receipt, overreceipt and duplicate supplier bill checks require examples.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-010,Trade,"Sales, purchases and provisional entry","Enter sale/purchase invoices or fast counter/provisional records, review totals and finalize linked account, stock and tax effects.",Billing staff; purchasing; accountant,A provisional document clearly shows its permitted effects; finalization posts each business effect once and links all consequences to one source.,MARG-003;MARG-005,,retained,"Party/item/rate/tax masters; cash/credit, numbering and document corrections need explicit examples. | Define stock/account impact before finalization and distinguish provisional from posted documents.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
